"r0_label","r1_label","r2_label","v_label","yr","r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_ids","z_n","z_n_pct","z_g_score","z"
"World","Latin America and the Caribbean","Central America","Belize",1990,1,419,13,3,1,0.0321007616624992,0.0321007616624992,0.0321007616624992,0.0321007616624992,4,4,4,4,4,4,"v","3",1,1,0,0.0321007616624992
"World","Latin America and the Caribbean","Central America","Belize",1991,1,419,13,3,1,0.0352424440374871,0.0352424440374871,0.0352424440374871,0.0352424440374871,4,4,4,4,4,4,"v","3",1,1,0,0.0352424440374871
"World","Latin America and the Caribbean","Central America","Belize",1992,1,419,13,3,1,0.0319439711067735,0.0319439711067735,0.0319439711067735,0.0319439711067735,4,4,4,4,4,4,"v","3",1,1,0,0.0319439711067735
"World","Latin America and the Caribbean","Central America","Belize",1993,1,419,13,3,1,0.0384770166185268,0.0384770166185268,0.0384770166185268,0.0384770166185268,4,4,4,4,4,4,"v","3",1,1,0,0.0384770166185268
"World","Latin America and the Caribbean","Central America","Belize",1994,1,419,13,3,1,0.0390975327978875,0.0390975327978875,0.0390975327978875,0.0390975327978875,4,4,4,4,4,4,"v","3",1,1,0,0.0390975327978875
"World","Latin America and the Caribbean","Central America","Belize",1995,1,419,13,3,1,0.0406467704851153,0.0406467704851153,0.0406467704851153,0.0406467704851153,4,4,4,4,4,4,"v","3",1,1,0,0.0406467704851153
"World","Latin America and the Caribbean","Central America","Belize",1996,1,419,13,3,1,0.0465310602411585,0.0465310602411585,0.0465310602411585,0.0465310602411585,4,4,4,4,4,4,"v","3",1,1,0,0.0465310602411585
"World","Latin America and the Caribbean","Central America","Belize",1997,1,419,13,3,1,0.0451018755728417,0.0451018755728417,0.0451018755728417,0.0451018755728417,4,4,4,4,4,4,"v","3",1,1,0,0.0451018755728417
"World","Latin America and the Caribbean","Central America","Belize",1998,1,419,13,3,1,0.0475839272204931,0.0475839272204931,0.0475839272204931,0.0475839272204931,4,4,4,4,4,4,"v","3",1,1,0,0.0475839272204931
"World","Latin America and the Caribbean","Central America","Belize",1999,1,419,13,3,1,0.0449179245133202,0.0449179245133202,0.0449179245133202,0.0449179245133202,4,4,4,4,4,4,"v","3",1,1,0,0.0449179245133202
"World","Latin America and the Caribbean","Central America","Belize",2000,1,419,13,3,1,0.0424998945393617,0.0424998945393617,0.0424998945393617,0.0424998945393617,4,4,4,4,4,4,"v","3",1,1,0,0.0424998945393617
"World","Latin America and the Caribbean","Central America","Belize",2001,1,419,13,3,1,0.045690390203149,0.045690390203149,0.045690390203149,0.045690390203149,4,4,4,4,4,4,"v","3",1,1,0,0.045690390203149
"World","Latin America and the Caribbean","Central America","Belize",2002,1,419,13,3,1,0.045166576106316,0.045166576106316,0.045166576106316,0.045166576106316,4,4,4,4,4,4,"v","3",1,1,0,0.045166576106316
"World","Latin America and the Caribbean","Central America","Belize",2003,1,419,13,3,1,0.0489999042085882,0.0489999042085882,0.0489999042085882,0.0489999042085882,4,4,4,4,4,4,"v","3",1,1,0,0.0489999042085882
