"r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_w_avg","r1_w_avg","r0_w_avg","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_ids","z_w_avg","z_n","z_n_pct","z_g_score","z"
1,419,13,1,139455.755210515,1,1,1,1,139455.755210515,139455.755210515,139455.755210515,4,4,4,4,4,4,"v","1",139455.755210515,1,1,0,1
1,419,13,2,139455.755210515,1,1,1,1,139455.755210515,139455.755210515,139455.755210515,4,4,4,4,4,4,"v","2",139455.755210515,1,1,0,1
1,419,13,3,139455.755210515,1,1,1,1,139455.755210515,139455.755210515,139455.755210515,4,4,4,4,4,4,"v","3",139455.755210515,1,1,0,1
1,419,13,4,139455.755210515,1,1,1,1,139455.755210515,139455.755210515,139455.755210515,4,4,4,4,4,4,"v","4",139455.755210515,1,1,0,1
