"goal","dimension","region_id","score"
"AO","future",0,74.62
"AO","future",1,74.63
"AO","future",2,74.63
"AO","future",3,74.61
"AO","future",4,74.63
"AO","pressures",1,27.81
"AO","pressures",2,27.83
"AO","pressures",3,27.94
"AO","pressures",4,27.85
"AO","resilience",1,69.99
"AO","resilience",2,69.99
"AO","resilience",3,69.99
"AO","resilience",4,69.99
"AO","score",0,70.09
"AO","score",1,70.1
"AO","score",2,70.09
"AO","score",3,70.08
"AO","score",4,70.09
"AO","status",0,65.56
"AO","status",1,65.56
"AO","status",2,65.56
"AO","status",3,65.56
"AO","status",4,65.56
"AO","trend",1,0
"AO","trend",2,0
"AO","trend",3,0
"AO","trend",4,0
"BD","future",0,78.38
"BD","future",1,78.41
"BD","future",2,78.4
"BD","future",3,78.37
"BD","future",4,78.39
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",3,
"BD","pressures",4,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",3,
"BD","resilience",4,
"BD","score",0,74.99
"BD","score",1,75
"BD","score",2,75
"BD","score",3,74.98
"BD","score",4,75
"BD","status",0,71.6
"BD","status",1,71.6
"BD","status",2,71.6
"BD","status",3,71.6
"BD","status",4,71.6
"BD","trend",1,0.02
"BD","trend",2,0.02
"BD","trend",3,0.02
"BD","trend",4,0.02
"CP","future",0,11.16
"CP","future",1,11.16
"CP","future",2,11.16
"CP","future",3,11.16
"CP","future",4,11.16
"CP","pressures",1,36.78
"CP","pressures",2,36.8
"CP","pressures",3,36.94
"CP","pressures",4,36.83
"CP","resilience",1,66.29
"CP","resilience",2,66.29
"CP","resilience",3,66.29
"CP","resilience",4,66.29
"CP","score",0,10.18
"CP","score",1,10.18
"CP","score",2,10.18
"CP","score",3,10.17
"CP","score",4,10.18
"CP","status",0,9.19
"CP","status",1,9.19
"CP","status",2,9.19
"CP","status",3,9.19
"CP","status",4,9.19
"CP","trend",1,0.18
"CP","trend",2,0.18
"CP","trend",3,0.18
"CP","trend",4,0.18
"CS","future",0,50.67
"CS","future",1,50.69
"CS","future",2,50.68
"CS","future",3,50.65
"CS","future",4,50.68
"CS","pressures",1,32.54
"CS","pressures",2,32.61
"CS","pressures",3,32.91
"CS","pressures",4,32.66
"CS","resilience",1,66.29
"CS","resilience",2,66.29
"CS","resilience",3,66.29
"CS","resilience",4,66.29
"CS","score",0,40.27
"CS","score",1,40.28
"CS","score",2,40.28
"CS","score",3,40.26
"CS","score",4,40.27
"CS","status",0,29.87
"CS","status",1,29.87
"CS","status",2,29.87
"CS","status",3,29.87
"CS","status",4,29.87
"CS","trend",1,0.87
"CS","trend",2,0.87
"CS","trend",3,0.87
"CS","trend",4,0.87
"CW","future",0,67.7
"CW","future",1,67.7
"CW","future",2,67.7
"CW","future",3,67.7
"CW","future",4,67.7
"CW","pressures",1,67.66
"CW","pressures",2,67.66
"CW","pressures",3,67.66
"CW","pressures",4,67.66
"CW","resilience",1,49.62
"CW","resilience",2,49.62
"CW","resilience",3,49.62
"CW","resilience",4,49.62
"CW","score",0,72.51
"CW","score",1,72.51
"CW","score",2,72.51
"CW","score",3,72.51
"CW","score",4,72.51
"CW","status",0,77.32
"CW","status",1,77.32
"CW","status",2,77.32
"CW","status",3,77.32
"CW","status",4,77.32
"CW","trend",1,-0.1
"CW","trend",2,-0.1
"CW","trend",3,-0.1
"CW","trend",4,-0.1
"ECO","future",0,100
"ECO","future",1,100
"ECO","future",2,100
"ECO","future",3,100
"ECO","future",4,100
"ECO","pressures",1,30.31
"ECO","pressures",2,30.31
"ECO","pressures",3,30.32
"ECO","pressures",4,30.31
"ECO","resilience",1,53.82
"ECO","resilience",2,53.82
"ECO","resilience",3,53.82
"ECO","resilience",4,53.82
"ECO","score",0,100
"ECO","score",1,100
"ECO","score",2,100
"ECO","score",3,100
"ECO","score",4,100
"ECO","status",0,100
"ECO","status",1,100
"ECO","status",2,100
"ECO","status",3,100
"ECO","status",4,100
"ECO","trend",1,1
"ECO","trend",2,1
"ECO","trend",3,1
"ECO","trend",4,1
"FIS","future",0,13.14
"FIS","future",1,2.28
"FIS","future",2,9.22
"FIS","future",3,18.87
"FIS","future",4,4.58
"FIS","pressures",1,29.21
"FIS","pressures",2,29.23
"FIS","pressures",3,29.31
"FIS","pressures",4,29.24
"FIS","resilience",1,69.48
"FIS","resilience",2,69.48
"FIS","resilience",3,69.48
"FIS","resilience",4,69.48
"FIS","score",0,12.17
"FIS","score",1,2.14
"FIS","score",2,8.61
"FIS","score",3,17.44
"FIS","score",4,4.29
"FIS","status",0,11.21
"FIS","status",1,2
"FIS","status",2,8
"FIS","status",3,16
"FIS","status",4,4
