"rgn_id","year","count"
3,1988,3400
4,1988,3400
2,1988,3400
1,1988,3400
3,1989,2600
4,1989,2600
2,1989,2600
1,1989,2600
3,1990,3100
4,1990,3100
2,1990,3100
1,1990,3100
3,1991,3600
4,1991,3600
2,1991,3600
1,1991,3600
3,1992,3300
4,1992,3300
2,1992,3300
1,1992,3300
3,1993,3800
4,1993,3800
2,1993,3800
1,1993,3800
3,1994,3900
4,1994,3900
2,1994,3900
1,1994,3900
3,1995,4200
4,1995,4200
2,1995,4200
1,1995,4200
3,1996,5000
4,1996,5000
2,1996,5000
1,1996,5000
3,1997,5100
4,1997,5100
2,1997,5100
1,1997,5100
3,1998,5500
4,1998,5500
2,1998,5500
1,1998,5500
3,1999,5500
4,1999,5500
2,1999,5500
1,1999,5500
3,2000,6000
4,2000,6000
2,2000,6000
1,2000,6000
3,2001,6300
4,2001,6300
2,2001,6300
1,2001,6300
3,2002,6400
4,2002,6400
2,2002,6400
1,2002,6400
3,2003,7700
4,2003,7700
2,2003,7700
1,2003,7700
3,2004,9000
4,2004,9000
2,2004,9000
1,2004,9000
3,2005,11500
4,2005,11500
2,2005,11500
1,2005,11500
3,2006,13700
4,2006,13700
2,2006,13700
1,2006,13700
3,2007,15500
4,2007,15500
2,2007,15500
1,2007,15500
3,2008,14700
4,2008,14700
2,2008,14700
1,2008,14700
3,2009,13900
4,2009,13900
2,2009,13900
1,2009,13900
3,2010,14500
4,2010,14500
2,2010,14500
1,2010,14500
3,2011,13900
4,2011,13900
2,2011,13900
1,2011,13900
3,2012,16100
4,2012,16100
2,2012,16100
1,2012,16100
3,2013,17000
4,2013,17000
2,2013,17000
1,2013,17000
