"rgn_id","sector","year","value"
1,"cf",2003,3601.423
2,"cf",2003,3601.423
3,"cf",2003,3601.423
4,"cf",2003,3601.423
1,"cf",2004,2645.104
2,"cf",2004,2645.104
3,"cf",2004,2645.104
4,"cf",2004,2645.104
1,"cf",2005,3205.132
2,"cf",2005,3205.132
3,"cf",2005,3205.132
4,"cf",2005,3205.132
1,"cf",2006,3371.242
2,"cf",2006,3371.242
3,"cf",2006,3371.242
4,"cf",2006,3371.242
1,"cf",2007,3338.02
2,"cf",2007,3338.02
3,"cf",2007,3338.02
4,"cf",2007,3338.02
1,"cf",2008,3586.394
2,"cf",2008,3586.394
3,"cf",2008,3586.394
4,"cf",2008,3586.394
1,"mmw",1998,0
2,"mmw",1998,0
3,"mmw",1998,0
4,"mmw",1998,0
1,"mmw",2006,0
2,"mmw",2006,0
3,"mmw",2006,0
4,"mmw",2006,0
1,"tour",2005,18538.3311951
2,"tour",2005,18538.3311951
3,"tour",2005,18538.3311951
4,"tour",2005,18538.3311951
1,"tour",2006,22078.6374998
2,"tour",2006,22078.6374998
3,"tour",2006,22078.6374998
4,"tour",2006,22078.6374998
1,"tour",2007,25297.0977767
2,"tour",2007,25297.0977767
3,"tour",2007,25297.0977767
4,"tour",2007,25297.0977767
1,"tour",2008,25361.4669822
2,"tour",2008,25361.4669822
3,"tour",2008,25361.4669822
4,"tour",2008,25361.4669822
1,"tour",2009,23816.6060493
2,"tour",2009,23816.6060493
3,"tour",2009,23816.6060493
4,"tour",2009,23816.6060493
1,"tour",2010,23623.4984327
2,"tour",2010,23623.4984327
3,"tour",2010,23623.4984327
4,"tour",2010,23623.4984327
