"rgn_id","year","area_km2"
3,1976,2
4,1976,2
2,1976,2
1,1976,2
3,1982,53
4,1982,53
2,1982,53
1,1982,53
3,1987,71
4,1987,71
2,1987,71
1,1987,71
3,1989,3
4,1989,3
2,1989,3
1,1989,3
3,1992,2
4,1992,2
2,1992,2
1,1992,2
3,1993,211
4,1993,211
2,1993,211
1,1993,211
3,1994,18
4,1994,18
2,1994,18
1,1994,18
3,1996,904
4,1996,904
2,1996,904
1,1996,904
3,1998,687
4,1998,687
2,1998,687
1,1998,687
3,2000,483
4,2000,483
2,2000,483
1,2000,483
3,2002,43
4,2002,43
2,2002,43
1,2002,43
3,2003,94
4,2003,94
2,2003,94
1,2003,94
3,2005,3
4,2005,3
2,2005,3
1,2005,3
