"sector","value","cntry_key"
"cf",13846.4101372961,"BLZ"
"ph",12374.0750909923,"BLZ"
"sb",15573.6416967459,"BLZ"
"tour",32092.8773085396,"BLZ"
"tran",54415.7584660831,"BLZ"
