"cntry_key","year","jobs"
"BLZ",1990,"62882.9057199367"
"BLZ",1991,"63989.6280840934"
"BLZ",1992,"64839.7279735741"
"BLZ",1993,"65913.1641462899"
"BLZ",1994,"67547.6098932961"
"BLZ",1995,"71090.5187672453"
"BLZ",1996,"75044.0531545382"
"BLZ",1997,"77975.4375094441"
"BLZ",1998,"81192.9044213569"
"BLZ",1999,"84532.3642636958"
"BLZ",2000,"87868.0839750811"
"BLZ",2001,"91316.2970743144"
"BLZ",2002,"94780.0178346983"
"BLZ",2003,"98290.3102444139"
"BLZ",2004,"101911.056109061"
"BLZ",2005,"105851.396215077"
"BLZ",2006,"110306.756512953"
"BLZ",2007,"115109.232765343"
"BLZ",2008,"119915.003173184"
"BLZ",2009,"125094.755349468"
"BLZ",2010,"130265.688773051"
"BLZ",2011,"134799.654082629"
"BLZ",2012,"139455.755210515"
