"rgn_id","year","popsum"
1,2005,13607.2145388
2,2005,20546.2057688232
3,2005,62399.6365433929
4,2005,31079.1667885029
1,2006,12007.7261366156
2,2006,18310.9513068341
3,2006,55295.6211358741
4,2006,27254.7234140639
1,2007,12258.2720221176
2,2007,18721.0583860945
3,2007,55742.6859436576
4,2007,27365.8511222732
1,2008,12508.8174897375
2,2008,19131.1656149827
3,2008,56189.7533765258
4,2008,27476.9767914596
1,2009,12759.3641279279
2,2009,19541.2722432403
3,2009,56636.8186948127
4,2009,27588.1011234455
1,2010,15053.9350412861
2,2010,22890.3537571868
3,2010,64961.1286025192
4,2010,31723.1421884127
1,2011,13253.920625522
2,2011,20358.3435099943
3,2011,57414.0901312134
4,2011,27747.9939672443
1,2012,13497.9333942358
2,2012,20765.3081667174
3,2012,57744.2984638996
4,2012,27796.7583524236
1,2013,13741.9435725824
2,2013,21172.2719977323
3,2013,58074.5055815031
4,2013,27845.524772473
1,2014,13985.9555042798
2,2014,21579.2378942893
3,2014,58404.7136812985
4,2014,27894.2898561525
1,2015,16461.5876801802
2,2015,25215.2157116559
3,2015,66860.4369261281
4,2015,32010.0205324438
