"rgn_id","year","usd"
1,1998,79059641.7450125
2,1998,121982857.48377
3,1998,330149465.901741
4,1998,157680507.569477
1,2002,107040221.845431
2,2002,165154709.004561
3,2002,446995094.997409
4,2002,213486377.352598
1,2004,121228523.246069
2,2004,187046150.826076
3,2004,506244795.933083
4,2004,241784235.994772
1,2005,127950514.198404
2,2005,197417658.288638
3,2005,534315524.23043
4,2005,255190911.282528
1,2006,139224029.752826
2,2006,214811813.016171
3,2006,581393212.124988
4,2006,277675375.106015
1,2007,146528613.815971
2,2007,226082216.183778
3,2007,611896822.739109
4,2007,292244003.261142
1,2008,156484437.673662
2,2008,241443275.454488
3,2008,653471890.07662
4,2008,312100396.79523
1,2009,154820320.074639
2,2009,238875671.86513
3,2009,646522610.717536
4,2009,308781397.342696
1,2010,160501273.257511
2,2010,247640939.29087
3,2010,670246012.667512
4,2010,320111774.784107
1,2011,166124843.0749
2,2011,256317668.661805
3,2011,693729784.294762
4,2011,331327703.968534
