"rgn_id","product","year","tonnes"
3,"ornamentals",1995,8.33333333333333
4,"ornamentals",1995,8.33333333333333
2,"ornamentals",1995,8.33333333333333
1,"ornamentals",1995,8.33333333333333
3,"ornamentals",1996,6.25
4,"ornamentals",1996,6.25
2,"ornamentals",1996,6.25
1,"ornamentals",1996,6.25
3,"ornamentals",1997,4.75
4,"ornamentals",1997,4.75
2,"ornamentals",1997,4.75
1,"ornamentals",1997,4.75
3,"ornamentals",1998,3
4,"ornamentals",1998,3
2,"ornamentals",1998,3
1,"ornamentals",1998,3
3,"ornamentals",1999,0
4,"ornamentals",1999,0
2,"ornamentals",1999,0
1,"ornamentals",1999,0
3,"ornamentals",2000,0
4,"ornamentals",2000,0
2,"ornamentals",2000,0
1,"ornamentals",2000,0
3,"ornamentals",2001,14
4,"ornamentals",2001,14
2,"ornamentals",2001,14
1,"ornamentals",2001,14
3,"ornamentals",2002,27.25
4,"ornamentals",2002,27.25
2,"ornamentals",2002,27.25
1,"ornamentals",2002,27.25
3,"ornamentals",2003,49.75
4,"ornamentals",2003,49.75
2,"ornamentals",2003,49.75
1,"ornamentals",2003,49.75
3,"ornamentals",2004,64
4,"ornamentals",2004,64
2,"ornamentals",2004,64
1,"ornamentals",2004,64
3,"ornamentals",2005,60
4,"ornamentals",2005,60
2,"ornamentals",2005,60
1,"ornamentals",2005,60
3,"ornamentals",2006,56.5
4,"ornamentals",2006,56.5
2,"ornamentals",2006,56.5
1,"ornamentals",2006,56.5
3,"ornamentals",2007,41
4,"ornamentals",2007,41
2,"ornamentals",2007,41
1,"ornamentals",2007,41
3,"ornamentals",2008,31.75
4,"ornamentals",2008,31.75
2,"ornamentals",2008,31.75
1,"ornamentals",2008,31.75
3,"ornamentals",2009,29.25
4,"ornamentals",2009,29.25
2,"ornamentals",2009,29.25
1,"ornamentals",2009,29.25
3,"ornamentals",2010,26
4,"ornamentals",2010,26
2,"ornamentals",2010,26
1,"ornamentals",2010,26
3,"ornamentals",2011,25
4,"ornamentals",2011,25
2,"ornamentals",2011,25
1,"ornamentals",2011,25
