"rgn_id","species_code","year","tonnes"
3,55,2008,152.080835399692
4,55,2008,55.2481590583015
2,55,2008,128.935000511693
1,55,2008,47.7360050303137
3,55,2009,33.6637265858692
4,55,2009,12.2294102082178
2,55,2009,28.5402995924321
1,55,2009,10.5665636134809
3,55,2010,0
4,55,2010,0
2,55,2010,0
1,55,2010,0
3,55,2011,0
4,55,2011,0
2,55,2011,0
1,55,2011,0
3,55,2012,0
4,55,2012,0
2,55,2012,0
1,55,2012,0
3,56,2003,0
4,56,2003,0
2,56,2003,0
1,56,2003,0
3,56,2004,0
4,56,2004,0
2,56,2004,0
1,56,2004,0
3,56,2005,0
4,56,2005,0
2,56,2005,0
1,56,2005,0
3,56,2006,0
4,56,2006,0
2,56,2006,0
1,56,2006,0
3,56,2007,0
4,56,2007,0
2,56,2007,0
1,56,2007,0
3,56,2008,0
4,56,2008,0
2,56,2008,0
1,56,2008,0
3,56,2009,0
4,56,2009,0
2,56,2009,0
1,56,2009,0
3,56,2010,0
4,56,2010,0
2,56,2010,0
1,56,2010,0
3,56,2011,0
4,56,2011,0
2,56,2011,0
1,56,2011,0
3,56,2012,0
4,56,2012,0
2,56,2012,0
1,56,2012,0
3,57,2003,4023.80543661684
4,57,2003,1461.77420841756
2,57,2003,3411.40522187188
1,57,2003,1263.01513309372
3,57,2004,4372.32401774113
4,57,2004,1588.38457292617
2,57,2004,3706.88126471118
1,57,2004,1372.41014462152
3,57,2005,4219.05505081488
4,57,2005,1532.70478762522
2,57,2005,3576.93895950799
1,57,2005,1324.30120205191
3,57,2006,2865.37719822075
4,57,2006,1040.93862184065
2,57,2006,2429.28314766172
1,57,2006,899.401032276874
3,57,2007,979.020377885514
4,57,2007,355.660023937816
2,57,2007,830.019065794025
1,57,2007,307.300532382644
3,57,2008,902.583916343482
4,57,2008,327.892068994451
2,57,2008,765.21579730768
1,57,2008,283.308217354388
3,57,2009,1594.86855248583
4,57,2009,579.386293041094
2,57,2009,1352.13866422028
1,57,2009,500.606490252795
3,57,2010,2641.61242738527
4,57,2010,959.64901280956
2,57,2010,2239.57409742967
1,57,2010,829.164462375501
3,57,2011,1998.83327151626
4,57,2011,726.139215539707
2,57,2011,1694.62225932947
1,57,2011,627.405253614565
3,57,2012,2302.20285463127
4,57,2012,836.347782827882
2,57,2012,1951.82072389186
1,57,2012,722.628638648993
